Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-09-27,5119,,2288,3465,5983,3704,1152,4598,
2012-01-13,75,,0,41,105,64,2,0,
2012-05-21,5129,,1646,2672,4169,2044,3413,5053,
2012-01-28,80,,1,61,123,33,9,1,
2012-02-19,169,,3,110,205,113,13,2,
2012-11-04,2328,,1049,1765,3122,1843,330,2311,
2012-02-11,1582,,737,1109,2277,1392,97,1888,
2012-03-02,174,,1,103,301,111,1,1,
2012-12-10,3169,,1460,2261,4045,2564,448,3224,
2012-11-02,71,,0,63,112,49,3,0,
2012-01-26,306,,0,215,495,191,0,1,
2012-07-27,5759,,1948,3658,6851,3275,2653,5295,
2012-04-17,3539,,1616,2636,4592,2450,544,3333,
2012-02-17,332,,3,237,496,260,11,1,
2012-12-03,802,,179,618,1265,747,0,548,
2012-02-28,195,,0,158,350,168,9,3,
2012-03-25,520,,243,309,691,427,145,723,
2012-07-24,5243,,2318,3465,6721,3317,2170,4694,
2012-09-07,5661,,2330,3524,6769,3577,2599,4987,
2012-06-03,269,,0,192,437,170,10,0,
2012-09-06,5164,,1672,3418,5557,2451,1551,6026,
2012-05-06,5842,,2721,3927,7302,3786,1232,5348,
2012-10-22,3650,,1819,2495,4800,3023,757,3721,
2012-05-03,155,,1,114,363,157,8,2,
2012-03-07,6712,,2634,4398,7416,3896,2606,5462,
2012-07-26,5560,,2043,4174,6476,3208,1595,4383,
2012-08-09,2155,,1192,1467,2739,898,801,2626,
2012-06-21,5183,,2195,3297,6684,3272,2265,4957,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-06-01,146,,0,98,244,86,4,75,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-05-16,4947,,2178,3681,5882,3057,1332,4348,
2012-10-04,2183,,909,1588,2932,1736,252,2108,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-08-03,348,,6,238,530,270,9,9,
2012-03-21,2829,,1558,1893,3510,2225,993,2846,
2012-11-07,6424,,2548,3921,7374,3781,2779,5474,
2012-10-21,1277,,609,869,1777,898,242,1648,
2012-12-08,3995,,1338,1937,3427,1719,2988,4178,
2012-09-05,3297,,1545,2700,4343,2340,737,3129,
2012-02-20,303,,2,224,470,243,14,10,
2012-02-05,3724,,1677,2885,4731,2508,876,3501,
2012-04-26,2751,,1069,2196,3546,1789,381,2438,
2012-04-05,2511,,1163,2058,3717,1823,380,2631,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-06-16,5421,,1651,3099,4909,2337,3280,5537,
2012-01-22,71,,0,41,73,35,5,0,
2012-11-10,3746,,1857,2569,4694,3034,558,3457,
2012-06-14,6908,,2978,4809,7934,4223,2386,6243,
2012-04-27,1986,,743,1526,2586,1298,139,1899,
2012-03-09,4179,,1532,2233,3718,1620,3783,4709,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-03-11,844,,380,612,1137,713,105,1302,
2012-06-19,5382,,2360,3447,6679,3438,1711,5015,
2012-08-22,6529,,2671,4513,7065,3774,2391,5154,
2012-03-03,82,,0,65,133,47,2,0,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-02-08,5715,,2361,3340,6956,3329,2643,4828,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-07-01,98,,2,80,108,53,6,54,
2012-03-28,435,,179,329,709,486,28,529,
2012-01-23,210,,6,114,357,91,6,0,
2012-08-10,1854,,880,987,1818,1040,1115,2502,
2012-05-02,72,,0,46,133,54,7,0,
2012-04-21,533,,212,398,710,408,50,755,
2012-09-19,4653,,2351,3176,5746,3738,840,4189,
2012-08-18,4427,,1333,2505,3866,1864,1229,4359,
2012-05-25,5697,,2205,4096,6734,3341,1953,5174,
2012-01-09,3934,,1225,2371,3917,1887,2801,3845,
2012-10-24,3744,,1868,2625,4900,3035,649,3622,
2012-10-14,587,,287,443,852,503,65,952,
2012-10-10,3115,,1537,2081,3681,2608,560,2703,
2012-03-17,681,,287,422,872,468,334,1008,
2012-03-31,980,,499,587,1083,706,524,1370,
2012-05-05,3492,,1366,2106,3696,1779,1677,4108,
2012-08-24,5690,,2394,3778,6703,3312,2178,5299,
2012-06-09,5883,,2883,3967,7511,4014,1498,4732,
2012-11-03,380,,60,253,540,289,0,285,
2012-04-24,1810,,720,1355,2379,1286,188,1753,
2012-05-13,2741,,1223,1703,3086,1592,1394,3496,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-06-27,3141,,1322,2142,4211,2134,536,2897,
2012-11-09,6015,,2913,4081,7148,4314,1484,5451,
2012-02-25,62,,0,48,52,18,2,5,
2012-10-26,4290,,1987,2754,5246,3000,1456,4578,
2012-09-22,1521,,656,1073,1682,971,365,1974,
2012-01-24,299,,1,189,444,174,4,0,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-07-25,6104,,2593,3786,7073,3622,3132,5059,
2012-04-11,966,,446,710,1277,692,197,1374,
2012-05-23,5974,,2650,4407,7281,3737,1826,4798,
2012-10-08,2414,,934,1727,3323,1641,440,2456,
2012-09-15,3341,,1100,1900,3099,1593,1268,3426,
2012-01-15,54,,0,33,60,18,0,0,
2012-08-15,4297,,1882,2936,4948,2686,970,3877,
2012-04-30,3610,,1572,2825,4675,2446,851,3541,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
2012-08-30,6003,,2910,4199,6781,3481,1796,5202,
2012-12-09,6349,,3124,4209,7292,4510,1981,5697,
2012-02-03,143,,0,56,283,77,7,1,
